"","ATM.dist.mean_Nucleus","TVC.dist.min_Nucleus","TVC.dist.max_Nucleus","TVC.dist.mean_Nucleus","TVC.dist.sd_Nucleus","TVC.ATM.dist.min_Nucleus","TVC.ATM.dist.max_Nucleus","TVC.ATM.dist.mean_Nucleus","TVC.ATM.dist.sd_Nucleus","TVC.cosine.min_Nucleus","TVC.cosine.max_Nucleus","TVC.cosine.sd_Nucleus","ATM.Nucleus.Dist.to.Cell.Membrane.min","ATM.Nucleus.Dist.to.Cell.Membrane.max","ATM.Nucleus.Dist.to.Cell.Membrane.mean","ATM.Nucleus.Dist.to.Cell.Membrane.SD","TVC.Nucleus.Dist.to.Cell.Membrane.min","TVC.Nucleus.Dist.to.Cell.Membrane.max","TVC.Nucleus.Dist.to.Cell.Membrane.mean","TVC.Nucleus.Dist.to.Cell.Membrane.SD","ATM.dist.mean_Cell","TVC.dist.min_Cell","TVC.dist.max_Cell","TVC.dist.mean_Cell","TVC.dist.sd_Cell","TVC.ATM.dist.min_Cell","TVC.ATM.dist.max_Cell","TVC.ATM.dist.mean_Cell","TVC.ATM.dist.sd_Cell","TVC.cosine.min_Cell","TVC.cosine.max_Cell","TVC.cosine.sd_Cell","ATM.Cell.Ellipticity..oblate..min","ATM.Cell.Ellipticity..oblate..max","ATM.Cell.Ellipticity..oblate..mean","ATM.Cell.Ellipticity..oblate..SD","ATM.Cell.Ellipticity..prolate..min","ATM.Cell.Ellipticity..prolate..max","ATM.Cell.Ellipticity..prolate..mean","ATM.Cell.Ellipticity..prolate..SD","ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.min","ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.max","ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.mean","ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.SD","ATM.Cell.Sphericity.min","ATM.Cell.Sphericity.max","ATM.Cell.Sphericity.mean","ATM.Cell.Sphericity.SD","ATM.Cell.Volume.frac.min","ATM.Cell.Volume.frac.max","ATM.Cell.Volume.frac.mean","ATM.Cell.Volume.frac.SD","ATM.Nucleus.Ellipticity..oblate..min","ATM.Nucleus.Ellipticity..oblate..max","ATM.Nucleus.Ellipticity..oblate..mean","ATM.Nucleus.Ellipticity..oblate..SD","ATM.Nucleus.Ellipticity..prolate..min","ATM.Nucleus.Ellipticity..prolate..max","ATM.Nucleus.Ellipticity..prolate..mean","ATM.Nucleus.Ellipticity..prolate..SD","ATM.Nucleus.Sphericity.min","ATM.Nucleus.Sphericity.max","ATM.Nucleus.Sphericity.mean","ATM.Nucleus.Sphericity.SD","ATM.Nucleus.Volume.frac.min","ATM.Nucleus.Volume.frac.max","ATM.Nucleus.Volume.frac.mean","ATM.Nucleus.Volume.frac.SD","TVC.Cell.Ellipticity..oblate..min","TVC.Cell.Ellipticity..oblate..max","TVC.Cell.Ellipticity..oblate..mean","TVC.Cell.Ellipticity..oblate..SD","TVC.Cell.Ellipticity..prolate..min","TVC.Cell.Ellipticity..prolate..max","TVC.Cell.Ellipticity..prolate..mean","TVC.Cell.Ellipticity..prolate..SD","TVC.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.min","TVC.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.max","TVC.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.mean","TVC.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.SD","TVC.Cell.Sphericity.min","TVC.Cell.Sphericity.max","TVC.Cell.Sphericity.mean","TVC.Cell.Sphericity.SD","TVC.Cell.Volume.frac.min","TVC.Cell.Volume.frac.max","TVC.Cell.Volume.frac.mean","TVC.Cell.Volume.frac.SD","TVC.Nucleus.Ellipticity..oblate..min","TVC.Nucleus.Ellipticity..oblate..max","TVC.Nucleus.Ellipticity..oblate..mean","TVC.Nucleus.Ellipticity..oblate..SD","TVC.Nucleus.Ellipticity..prolate..min","TVC.Nucleus.Ellipticity..prolate..max","TVC.Nucleus.Ellipticity..prolate..mean","TVC.Nucleus.Ellipticity..prolate..SD","TVC.Nucleus.Sphericity.min","TVC.Nucleus.Sphericity.max","TVC.Nucleus.Sphericity.mean","TVC.Nucleus.Sphericity.SD","TVC.Nucleus.Volume.frac.min","TVC.Nucleus.Volume.frac.max","TVC.Nucleus.Volume.frac.mean","TVC.Nucleus.Volume.frac.SD","nATM","nTVC","ATMgroup.Ellipticity..oblate.","ATMgroup.Ellipticity..prolate.","ATMgroup.Sphericity","TVCgroup.Ellipticity..oblate.","TVCgroup.Ellipticity..prolate.","TVCgroup.Sphericity","TVC.Volume","ATM.Volume"
"ADF.Cofilin.slide1_image11.2019_08_29",0.310812510240237,0.118213113639063,0.118213113639063,0.118213113639063,0,0.801865948656397,1,0.906494009445853,0.0812726340481153,0,0,0,0.061959155003352,0.0662087316338394,0.0640839433185957,0.00300490445258953,0.0578981601635684,0.0604734418369091,0.0591858010002387,0.00182099913468463,0.385017904657053,0.155634547706757,0.155634547706757,0.155634547706757,0,0.700268903469404,1,0.858814559253281,0.124182011654461,0,0,0,0.292873,0.360284,0.3265785,0.0476667752265664,0.475737,0.477462,0.4765995,0.00121975919754678,0.040831,0.044207,0.042519,0.00238719249328579,0.409427,0.41511,0.4122685,0.00401848783748314,0.311619491984913,0.379786982226066,0.345703237105489,0.0482016946059866,0.283069,0.335332,0.3092005,0.0369555217051525,0.244485,0.345777,0.295131,0.0716242600799478,0.651726,0.661114,0.65642,0.00663831846177927,0.271131143073875,0.356606812761118,0.313868977917496,0.0604404256623106,0.405046,0.49939,0.452218,0.0667112821642636,0.289384,0.361215,0.3252995,0.0507921871994109,0.0506433,0.0660638,0.05835355,0.0109039401192872,0.501485,0.51793,0.5097075,0.0116283710166128,0.138685927098834,0.169907598690187,0.154296762894511,0.0220770557022249,0.288026,0.388144,0.338085,0.0707941167188348,0.314425,0.344345,0.329385,0.0211566348931015,0.617688,0.64237,0.630029,0.0174528095732464,0.181645924537155,0.190616119627852,0.186131022082503,0.00634288577719753,2,2,0.164705,0.494711,0.597887,0.403254,0.44891,0.803429,0.309305203088156,0.690694796911844
"ADF.Cofilin.slide1_image12_left.2019_08_29",0,0.105004226389528,0.757783391455707,0.36517146417696,0.211415492764416,0.567425241788825,1,0.820614448531109,0.155280192333819,-0.985439251907557,0.998515277619209,0.77272424250659,0.0495664908022464,0.0495664908022464,0.0495664908022464,0,0.036738532395148,0.0584443585283709,0.0489411187484188,0.00966049098138583,0,0.126666994665277,0.7575596571477,0.359694001405333,0.198345519382384,0.505364093198935,1,0.799411276294052,0.173539384078592,-0.963516033577231,0.997239119082327,0.739120993928858,0.148952,0.148952,0.148952,0,0.618874,0.618874,0.618874,0,0.0754888,0.0754888,0.0754888,0,0.489584,0.489584,0.489584,0,0.341662240377478,0.341662240377478,0.341662240377478,0,0.483592,0.483592,0.483592,0,0.34702,0.34702,0.34702,0,0.64184,0.64184,0.64184,0,0.387105079186761,0.387105079186761,0.387105079186761,0,0.22312,0.448897,0.3533115,0.0955934305415388,0.313062,0.460932,0.412808166666667,0.0618111348493673,0.0402762,0.118867,0.0729093666666667,0.0313120611809358,0.448466,0.556216,0.5054635,0.0422980637701066,0.0408778188759997,0.166697586959005,0.109722959937087,0.052732669752249,0.339997,0.530781,0.405803166666667,0.0676291217225735,0.219008,0.500817,0.421905,0.105321669618365,0.61949,0.649157,0.638855833333333,0.0117242859640435,0.067614935245043,0.145174235963587,0.102149153468873,0.0316533497935175,1,6,0.146782,0.605913,0.710838,0.187203,0.630756,0.571016,0.652039146163064,0.347960853836936
"ADF.Cofilin.slide1_image13.2019_08_29",0.504088970713535,0.111651686070548,0.111651686070548,0.111651686070548,0,0.411671145436364,1,0.706122818093714,0.294060157240163,0,0,0,0.0646345847693137,0.0682522180680826,0.0664434014186982,0.00255805303740575,0.0544398577473506,0.0597460289202278,0.0570929433337892,0.00375202961847804,0.485124529936196,0.160195852780813,0.160195852780813,0.160195852780813,0,0.387773770705371,1,0.6949246366785,0.288527421132737,0,0,0,0.255931,0.374784,0.3153575,0.0840417622643647,0.445457,0.582297,0.513877,0.0967604919375671,0.0629889,0.0719577,0.0674733,0.00634189929910591,0.489793,0.494365,0.492079,0.00323289220358491,0.279124394700998,0.33870472072631,0.308914557713654,0.0421296525578037,0.274574,0.336161,0.3053675,0.0435485853329359,0.480595,0.529483,0.505039,0.034569036318648,0.616475,0.646996,0.6317355,0.0215816060685946,0.274428953380559,0.293959621001396,0.284194287190977,0.0138102675157941,0.18869,0.38177,0.28523,0.136528177311499,0.340479,0.502803,0.421641,0.114780401149325,0.0717213,0.102017,0.08686915,0.0214222949107933,0.461869,0.556115,0.508992,0.0666419856997074,0.151768030518218,0.230402854054473,0.191085442286346,0.0556032169598934,0.300312,0.369677,0.3349945,0.0490484618770048,0.434472,0.456605,0.4455385,0.0156503943880018,0.650169,0.657594,0.6538815,0.00525026785031013,0.205778408211542,0.225833017406503,0.215805712809023,0.0141807501558035,2,2,0.0835389,0.593937,0.655343,0.400756,0.459718,0.819252,0.381269743207171,0.618730256792829
"ADF.Cofilin.slide1_image14_right.2019_08_29",0.384426191989301,0.0669450863557722,0.0669450863557722,0.0669450863557722,0,0.451069766697887,1,0.703237272753173,0.246510730032777,0,0,0,0.034718414362662,0.0503632781725891,0.0402307061507518,0.00878639192083764,0.0248479765353475,0.0337909093207679,0.0293194429280577,0.00632360841626625,0.39783011518916,0.0634710854371897,0.0634710854371897,0.0634710854371897,0,0.426924870944912,1,0.696378798730835,0.253786932654978,0,0,0,0.205366,0.371742,0.274489333333333,0.0866815314200974,0.512506,0.579623,0.556640333333333,0.0382324165379764,0.0885986,0.108022,0.0980022333333333,0.00972634731558222,0.459086,0.472123,0.466154,0.0065876166403336,0.255546497821779,0.296419794313053,0.273566659100367,0.0208608441656048,0.341826,0.512296,0.407675666666667,0.0916099267019319,0.313358,0.507125,0.416415666666667,0.097471911719907,0.630653,0.654813,0.641373666666667,0.0123073052019251,0.277707673163903,0.290109200537997,0.28291489986096,0.00643512374038251,0.239992,0.443821,0.3419065,0.144128868102473,0.406018,0.753466,0.579742,0.245682836909704,0.070784,0.0823263,0.07655515,0.00816163860048949,0.466865,0.493668,0.4802665,0.018952583056143,0.0651774879302969,0.114122534768602,0.0896500113494496,0.0346093745248588,0.349561,0.597717,0.473639,0.175472790392129,0.269833,0.414697,0.342265,0.102434316749808,0.567866,0.649514,0.60869,0.0577338544703193,0.0501718600842374,0.101083440332883,0.0756276502085602,0.0359999236347404,3,2,0.0741476,0.587786,0.555145,0.516899,0.283089,0.815108,0.17929528983515,0.82070471016485
"ADF.Cofilin.slide1_image18_left.2019_08_29",0.35193300386706,0.108537827674158,0.108537827674158,0.108537827674158,0,0.636675377424115,1,0.813927323149058,0.144093699247433,0,0,0,0.0390410274436238,0.0428324010048903,0.0405921189605415,0.0019874269942801,0.0260744732473794,0.0276719491858122,0.0268732112165958,0.00112958606884815,0.394654894176571,0.105050964685969,0.105050964685969,0.105050964685969,0,0.576801892569853,1,0.781458689898105,0.172311905206593,0,0,0,0.196401,0.35377,0.273697666666667,0.0787212092407969,0.421089,0.653829,0.507782666666667,0.127216473698705,0.0590088,0.0680903,0.0645345666666667,0.00485068902974962,0.36747,0.451792,0.405897,0.0426541696554979,0.22915541345148,0.352428181121098,0.278740586484726,0.0650748711683936,0.326896,0.484033,0.420738666666667,0.0829030137831752,0.29317,0.360841,0.336990666666667,0.0379993647359181,0.639207,0.656818,0.649029666666667,0.00898001750183894,0.235752627283481,0.323985888750269,0.275851948792457,0.0446619908588998,0.374574,0.40335,0.388962,0.0203477047354241,0.45782,0.49619,0.477005,0.0271316871941278,0.0538139,0.113209,0.08351145,0.0419986779792531,0.493443,0.515176,0.5043095,0.0153675516755272,0.0412551222407891,0.122523118305033,0.0818891202729111,0.0574651511104686,0.46266,0.541028,0.501844,0.0554145442280273,0.318829,0.374854,0.3468415,0.0396156574159764,0.618509,0.62389,0.6211995,0.00380494158956479,0.0692183884077146,0.103225765214915,0.0862220768113146,0.0240468467507372,3,2,0.034686,0.858338,0.504225,0.48442,0.364588,0.736275,0.163643018361496,0.836356981638504
"ADF.Cofilin.slide1_image2_left.2019_08_29",0,0.102999588808729,0.196329282351133,0.154166409518688,0.0340119851131098,0.84294509104565,1,0.901165185135534,0.0685086524803019,-0.234237891656378,0.860155872377896,0.348830160761011,0.0526801153932115,0.0526801153932115,0.0526801153932115,0,0.0259648387554373,0.0702066403492646,0.0499810489847724,0.0186281198093513,0,0.122219080858822,0.20889339955599,0.170363263545306,0.034186507956416,0.842952543756677,1,0.900840841839573,0.0687120770569581,-0.140415776428899,0.813022599232638,0.332405681198846,0.416864,0.416864,0.416864,0,0.43732,0.43732,0.43732,0,0.0808885,0.0808885,0.0808885,0,0.502958,0.502958,0.502958,0,0.326603970886954,0.326603970886954,0.326603970886954,0,0.404593,0.404593,0.404593,0,0.284554,0.284554,0.284554,0,0.658115,0.658115,0.658115,0,0.333772437069743,0.333772437069743,0.333772437069743,0,0.375948,0.653976,0.483138,0.132903946961706,0.224836,0.404176,0.29562475,0.0798705509324306,0.0344229,0.0958264,0.07158315,0.0296154475297943,0.485954,0.509305,0.498545,0.00966792852683553,0.0647949071629084,0.249019833612472,0.168349007278261,0.0806136946987256,0.329331,0.477015,0.37966325,0.0661574954502512,0.325583,0.537486,0.4296095,0.10261837508783,0.639258,0.654305,0.644143,0.00685989207884013,0.0508908987725124,0.297372469363586,0.166556890732564,0.125709807567191,1,4,0.413912,0.438218,0.792783,0.51133,0.336911,0.788775,0.674276735372955,0.325723264627045
"ADF.Cofilin.slide1_image2_right.2019_08_29",0,0.108036047744434,0.373163533564803,0.218634253504337,0.0710238633637278,0.744342326449083,1,0.858033356528715,0.111527693624955,-0.902117976072059,0.992166538160334,0.519486894838146,0.0621470120565615,0.0621470120565615,0.0621470120565615,0,0.0441606489835956,0.0596288505440286,0.05063611943408,0.00602612775698584,0,0.146619667204563,0.397454187084968,0.255670809074915,0.0757312030270116,0.684941606436791,1,0.840147366477265,0.130926675209054,-0.818189197925609,0.977248618068719,0.479756265397031,0.5273,0.5273,0.5273,0,0.252796,0.252796,0.252796,0,0.0942199,0.0942199,0.0942199,0,0.454438,0.454438,0.454438,0,0.346396093882333,0.346396093882333,0.346396093882333,0,0.378413,0.378413,0.378413,0,0.330863,0.330863,0.330863,0,0.657815,0.657815,0.657815,0,0.296081489486669,0.296081489486669,0.296081489486669,0,0.293303,0.445934,0.335179166666667,0.058487991100453,0.324822,0.574359,0.483935666666667,0.08597869307373,0.0693945,0.196304,0.13683425,0.0450386747337774,0.466936,0.556749,0.504696833333333,0.0326814391079504,0.0536506236833934,0.183957224245094,0.108933984352944,0.0586565045651668,0.33937,0.567068,0.4515725,0.0876021775043292,0.194839,0.514129,0.325678,0.129767257229241,0.602898,0.647535,0.635336333333333,0.0162919037397925,0.069933049111995,0.202310077291827,0.117319751752222,0.0491805961576908,1,6,0.528233,0.248088,0.692516,0.769883,0.151594,0.758532,0.654461623333076,0.345538376666924
"ADF.Cofilin.slide1_image20_right.2019_08_29",0.268313297037547,0.0833146032096995,0.0833146032096995,0.0833146032096995,0,0.542513950950382,1,0.742683365345142,0.153331997341446,0,0,0,0.0245279826776885,0.0415337364382393,0.0340190995257599,0.00713702115007236,0.0195770192850457,0.020904610077473,0.0202408146812594,0.000938748451966115,0.273057730410384,0.0882045677006174,0.0882045677006174,0.0882045677006174,0,0.520185784493736,1,0.726088145644419,0.161467284586207,0,0,0,0.0998035,0.516258,0.3863631,0.179194700573287,0.333573,0.852857,0.4997938,0.223145223920881,0.083455,0.243034,0.12104436,0.0687198884897815,0.437689,0.513985,0.4791618,0.0338597769145043,0.134472097812942,0.187247626934481,0.164904420417607,0.0255523369835748,0.347119,0.446958,0.3919316,0.0364801508809928,0.411612,0.504505,0.4725502,0.0384678264163703,0.624966,0.649741,0.6402682,0.00936077762261234,0.102896355303683,0.322841249092167,0.161871950585139,0.0907266350666306,0.316458,0.649375,0.4829165,0.235407868272282,0.221955,0.606327,0.414141,0.271792047698236,0.130145,0.13625,0.1331975,0.00431688689914387,0.393218,0.436388,0.414803,0.0305257997438232,0.060823948471884,0.114653949440079,0.0877389489559814,0.0380635587158889,0.444916,0.481266,0.463091,0.025703331496131,0.362473,0.375397,0.368935,0.00913864804005493,0.61884,0.64033,0.629585,0.0151957247276989,0.0643437261514813,0.126296520922821,0.0953201235371514,0.0438072412962731,5,2,0.0558306,0.624581,0.56382,0.606597,0.205129,0.626478,0.175311114200428,0.824688885799572
"ADF.Cofilin.slide1_image21.2019_08_29",0.263964932627107,0.0870985059063771,0.0870985059063771,0.0870985059063771,0,0.591934018783083,1,0.787004007372479,0.158624366974788,0,0,0,0.0436198501010373,0.0516165388015526,0.0472419572348216,0.00405110119256678,0.0194221781056083,0.0275550063949855,0.0234885922502969,0.00575077803364445,0.296666368433055,0.0902201266970291,0.0902201266970291,0.0902201266970291,0,0.548446379912001,1,0.765385534199662,0.174666454746784,0,0,0,0.372413,0.452762,0.407661,0.0410706909730041,0.392815,0.462031,0.437373,0.0386616239182991,0.0544669,0.10935,0.0775940666666667,0.0284408223693221,0.476555,0.499257,0.484851666666667,0.0125232606510179,0.25913012840355,0.326236186491202,0.28590284751784,0.0355488898031645,0.306204,0.661304,0.499441,0.179616949108373,0.15029,0.277356,0.208765333333333,0.0641340944064336,0.619357,0.662949,0.637568666666667,0.0226629202075402,0.196271973296508,0.356380305910628,0.282103800332229,0.080677218801871,0.371808,0.418568,0.395188,0.0330643130882829,0.450417,0.472386,0.4614015,0.0155344288758872,0.0760877,0.0887553,0.0824215,0.00895734586135871,0.359981,0.440361,0.400171,0.0568372430717747,0.0540337983702971,0.0882576590761832,0.0711457287232401,0.0241999239835159,0.536156,0.565669,0.5509125,0.0208688424331586,0.270604,0.300989,0.2857965,0.0214854395463532,0.594919,0.623158,0.6090385,0.0199679883939269,0.053306097889429,0.100382501113884,0.0768442995016564,0.0332880439538842,3,2,0.103416,0.540999,0.650211,0.360729,0.529129,0.598336,0.142345689183825,0.857654310816175
"ADF.Cofilin.slide1_image23_left.2019_08_29",0.358968630656481,0.109824804282525,0.109824804282525,0.109824804282525,0,0.692946607358586,1,0.848361146614098,0.132288195120208,0,0,0,0.050579777571448,0.0554066268208541,0.0529932021961511,0.00341309783602021,0.0447022197683066,0.0548300601969795,0.0497661399826431,0.0071614646458899,0.389658204336395,0.137121492914741,0.137121492914741,0.137121492914741,0,0.649640315202526,1,0.829133649213105,0.149841769973099,0,0,0,0.21974,0.358605,0.2891725,0.0981923831694699,0.430802,0.584571,0.5076865,0.108731102636274,0.0694373,0.0711604,0.07029885,0.00121841569466254,0.475642,0.493206,0.484424,0.0124196235047605,0.301932166183997,0.34799025829885,0.324961212241423,0.0325679892629272,0.483256,0.551927,0.5175915,0.0485577297708614,0.256243,0.292707,0.274475,0.0257839416691863,0.624974,0.632681,0.6288275,0.00544967196260474,0.287104282122588,0.323408053976447,0.305256168049518,0.0256706432605129,0.364638,0.36784,0.366239,0.00226415591335931,0.40685,0.425655,0.4162525,0.013297143020213,0.0762604,0.0965733,0.08641685,0.0143633893355642,0.532272,0.542903,0.5375875,0.00751725219079423,0.139778368977248,0.210299206539906,0.175038787758577,0.0498657624555103,0.368763,0.39683,0.3827965,0.0198463660275628,0.468788,0.488309,0.4785485,0.0138034314755426,0.629064,0.645583,0.6373235,0.0116806969184206,0.176199907968709,0.213287755932255,0.194743831950482,0.0262250687946389,2,2,0.0874988,0.595458,0.626953,0.441198,0.426011,0.848887,0.350353041350152,0.649646958649848
